B01,,,,,,,,,,,,,,,,,,,,,,,,,,,
T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A,T11A
T09A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T11A,T11A,T11A,T11A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T07A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T11A,T11A,T11A,T07A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T11A,T11A,T11A,T07A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T11A,T11A,T11A,T07A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T11A,T11A,T07A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T11A,T11A,T07A,T07A,T07A,T07A
T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T11A,T11A,T07A,T07A,T07A,T07A
T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T11A,T11A,T07A,T07A,T07A,T07A
T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T09A,T09A,T07A,T07A,T07A,T07A
T09A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T07A,T09A,T09A,T09A,T09A,T09A,T07A,T07A,T07A,T07A
